materials_glazing_id,source,type,material_type,id,description,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,material_mult,labour_mult,op_mult,U_W_per_m2-K,fenestration_type,fenestration_assembly_context,fenestration_number_of_panes,fenestration_frame_type,fenestration_divider_type,fenestration_tint,fenestration_gas_fill,fenestration_low_emissivity_coating,solar_heat_gain_coefficient,visible_transmittance,comments,quantity
11,rs-means,Assembly,glazing,240003,"entrance, door 5'x7', opening 12'x7'-6', electric operator",ft2,,,,,,,,,,1.0,1.0,1.0,2.2,GlazedDoor,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Air,0.0,0.65,0.7,,1.0
12,rs-means,Assembly,glazing,240004,"fixed mall front panels, aluminum finish 48' x 9' opening",ft2,,,,,,,,,,0.0023148148148148147,0.0023148148148148147,0.0023148148148148147,2.2,FixedWindow,Manufactured,Double Pane,Metal Framing with Thermal Break,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,,1.0
13,rs-means,Assembly,glazing,240005,aluminum window: stock 5'x3' including framing and insulated glazing,ft2,,,,,,,,,,1.0,1.0,1.0,2.2,OperableWindow,Manufactured,Double Pane,Metal Framing with Thermal Break,"Between Panes >= 7/16""",Clear,Argon,1.0,0.55,0.61,,1.0
14,rs-means,Assembly,glazing,240007,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",ft2,,,,,,,,,,0.043,0.043,0.043,2.2,FixedWindow,Manufactured,Double Pane,Non-Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,Cost conv. workaround: Assembly cost is $782 and area is 23.18ft2 - Ea. To S.F. is =782/23.18 =33.7$/ft2 - Derating factor = 1/area = 0.0355 - Expect cost ~$33/ft2,1.0
15,rs-means,Assembly,glazing,240006,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs",ft2,,,,,,,,,,1.0,1.0,1.0,2.2,OperableWindow,Manufactured,Double Pane,Non-Metal Framing,"Between Panes >= 7/16""",Clear,Argon,1.0,0.55,0.61,,1.0
16,rs-means,Assembly,glazing,240007,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",ft2,,,,,,,,,,0.043,0.043,0.043,2.2,FixedWindow,Manufactured,Double Pane,Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.55,0.61,Cost conv. workaround: Assembly cost is $782 and area is 23.18ft2 - Ea. To S.F. is =782/23.18 =33.7$/ft2 - Derating factor = 1/area = 0.0355 - Expect cost ~$33/ft2,1.0
17,rs-means,Assembly,glazing,240008,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",ft2,,,,,,,,,,0.0833,0.0833,0.0833,1.6,FixedWindow,Manufactured,Triple Pane,Metal Framing with Thermal Break,"Between Panes < 7/16""",Clear,Argon,1.0,0.4,0.4,Cost conv. workaround: Assembly cost is $807 and area is 12ft2 - Ea. To S.F. is =807/12 =67.25$/ft2 - Derating factor = 1/area = 0.0833 - Expect cost ~$67.25/ft2,1.0
18,rs-means,Assembly,glazing,240002,"triple glazed U= 1.6 W/m2-K, 6' x 7' aluminum patio, tempered glass",ft2,,,,,,,,,,1.0,1.0,1.0,1.6,GlazedDoor,Manufactured,Triple Pane,Metal Framing,"Between Panes < 7/16""",Clear,Air,0.0,0.45,0.5,,1.0
19,rs-means,Assembly,glazing,240003,"triple glazed U= 1.6 W/m2-K, entrance, door 5'x7', opening 12'x7'-6', electric operator",ft2,,,,,,,,,,1.0,1.0,1.0,1.6,GlazedDoor,Manufactured,Triple Pane,Metal Framing,"Between Panes < 7/16""",Clear,Air,0.0,0.45,0.5,,1.0
20,rs-means,Assembly,glazing,240004,"triple glazed U= 1.6 W/m2-K, fixed mall front panels, aluminum finish 48' x 9' opening",ft2,,,,,,,,,,0.0023148148148148147,0.0023148148148148147,0.0023148148148148147,1.6,FixedWindow,Manufactured,Triple Pane,Metal Framing with Thermal Break,"Between Panes < 7/16""",Clear,Argon,1.0,0.4,0.4,,1.0
21,rs-means,Assembly,glazing,240005,"triple glazed U= 1.6 W/m2-K, aluminum window: stock 5'x3' including framing and insulated glazing",ft2,,,,,,,,,,1.0,1.0,1.0,1.6,OperableWindow,Manufactured,Triple Pane,Metal Framing with Thermal Break,"Between Panes >= 7/16""",Clear,Argon,1.0,0.4,0.4,,1.0
22,rs-means,Assembly,glazing,240008,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",ft2,,,,,,,,,,0.0833,0.0833,0.0833,1.6,FixedWindow,Manufactured,Triple Pane,Non-Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.4,0.4,Cost conv. workaround: Assembly cost is $807 and area is 12ft2 - Ea. To S.F. is =807/12 =67.25$/ft2 - Derating factor = 1/area = 0.0833 - Expect cost ~$67.25/ft2,1.0
23,rs-means,Assembly,glazing,240006,"triple glazed U= 1.6 W/m2-K, 6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs",ft2,,,,,,,,,,1.0,1.0,1.0,1.6,OperableWindow,Manufactured,Triple Pane,Non-Metal Framing,"Between Panes >= 7/16""",Clear,Argon,1.0,0.4,0.4,,1.0
24,rs-means,Assembly,glazing,240008,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",ft2,,,,,,,,,,0.0833,0.0833,0.0833,1.6,FixedWindow,Manufactured,Triple Pane,Metal Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.4,0.4,,1.0
25,rs-means,Unit,skylights,100009,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",ft2,,,,,,,,,,0.068,0.068,0.068,2.4,PlasticSkylightwithCurb,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.4,0.4,Cost conv. workaround: Assembly cost is $841 and area is 14.7ft2 - Ea. To S.F. is =841/14.7 =57.23$/ft2 - Derating factor = 1/area = 0.068 - Expect cost ~$57.23/ft2,1.0
26,rs-means,Unit,skylights,100009,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",ft2,,,,,,,,,,0.068,0.068,0.068,2.4,GlassSkylightwithCurb,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.5,0.5,Cost conv. workaround: Assembly cost is $841 and area is 14.7ft2 - Ea. To S.F. is =841/14.7 =57.23$/ft2 - Derating factor = 1/area = 0.068 - Expect cost ~$57.23/ft2,1.0
27,rs-means,Unit,skylights,100010,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",ft2,,,,,,,,,,0.068,0.068,0.068,1.6,PlasticSkylightwithCurb,Manufactured,Triple Pane,Metal-Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.2,0.2,Cost conv. workaround: Assembly cost is $861 and area is 14.7ft2 - Ea. To S.F. is =861/14.7 =58.6$/ft2 - Derating factor = 1/area = 0.068 - Expect cost ~$58.6/ft2,1.0
28,rs-means,Unit,skylights,100010,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",ft2,,,,,,,,,,0.068,0.068,0.068,1.6,GlassSkylightwithCurb,Manufactured,Triple Pane,Metal-Framing,"Between Panes < 7/16""",Clear,Argon,1.0,0.28,0.28,Cost conv. workaround: Assembly cost is $861 and area is 14.7ft2 - Ea. To S.F. is =861/14.7 =58.6$/ft2 - Derating factor = 1/area = 0.068 - Expect cost ~$58.6/ft2,1.0
29,rs-means,Unit,Solarfilms,100011,bronze film (glass not included) 20% VLT,ft2,,,,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Bronze,Air,1.0,0.16949152542372883,0.2,,1.0
30,rs-means,Unit,Solarfilms,100012,bronze film (glass not included) 50% VLT,ft2,,,,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Bronze,Air,1.0,0.42372881355932207,0.5,,1.0
31,rs-means,Unit,Solarfilms,100013,Silver film (glass not included) 15% VLT,ft2,,,,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Silver,Air,1.0,0.12820512820512822,0.15,,1.0
32,rs-means,Unit,Solarfilms,100014,Silver film (glass not included) 35% VLT,ft2,,,,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Silver,Air,1.0,0.29914529914529914,0.35,,1.0
33,rs-means,Unit,Solarfilms,100015,Silver film (glass not included) 68% VLT,ft2,,,,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Silver,Air,1.0,0.5811965811965812,0.68,,1.0
34,rs-means,Unit,Solarfilms,100016,Neutral film (glass not included) 20% VLT,ft2,,,,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,Metal-Framing,"Between Panes < 7/16""",Clear,Air,1.0,0.14814814814814814,0.2,,1.0
35,custom,Assembly,glazing,101917,"kawneer 1600 UT System 1, 1"" glass, warm edge spacer, U=1.81W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
36,custom,Assembly,glazing,101918,"kawneer 1600 UT System 1, triple glazed, 1"" glass, warm edge spacer, U=1.25 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Triple Pane,,,,,,,,,1.0
37,custom,Assembly,glazing,101919,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
38,custom,Assembly,glazing,101920,"Starline 9600 Window wall, triple glazed, 2x low-e and argon filled IGU  U=1.01W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Triple Pane,,,,,,,,,1.0
39,custom,Assembly,glazing,101921,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, no low-e, air filled IGU, U<2.1",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
40,custom,Assembly,glazing,101922,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, 1x low-e, argon filled IGU, U=1.59 w/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
41,custom,Assembly,glazing,101923,"Starline 7100 double glazed, 13.6mm WE Spacer, 2x low-e, argon filled IGU, U=1.25W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
42,custom,Assembly,glazing,101924,"wood finished look vinyl, Innotech Defender 76TS double Glazed, U=1.4W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,OperableWindow,Manufactured,Double Pane,,,,,,,,,1.0
43,custom,Assembly,glazing,101925,"wood finished look vinyl, Innotech Defender 88PH Pro, triple glazed, U=0.76W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,OperableWindow,Manufactured,Triple Pane,,,,,,,,,1.0
44,custom,Assembly,glazing,101926,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
45,custom,Assembly,glazing,101927,"Fixed window Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Double Pane,,,,,,,,,1.0
46,custom,Assembly,glazing,101928,"Fixed window Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Triple Pane,,,,,,,,,1.0
47,custom,Assembly,glazing,101929,"Starline 4500 T, double glazed, 1 low-e coating, argon filled IG & TGI Spacer, U=2.29W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Double Pane,,,,,,,,,1.0
48,custom,Assembly,glazing,101930,"Reynaers Aluminum CP 155-LS, double glazed, U=1.7 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Double Pane,,,,,,,,,1.0
49,custom,Assembly,glazing,101931,"Reynaers Aluminum CP 155-LS, triple glazed, U=1.2 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Triple Pane,,,,,,,,,1.0
50,custom,Assembly,glazing,101932,"Starline 9502 double glazed swing door, low-e coating, argon filled IGU, TGI Spacer, U=2.36W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Double Pane,,,,,,,,,1.0
51,custom,Assembly,glazing,101933,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Double Pane,,,,,,,,,1.0
52,custom,Assembly,glazing,101934,"Reynaers Aluminum Masterline 10, triple glazed, U=0.9 W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Triple Pane,,,,,,,,,1.0
53,custom,Assembly,glazing,101935,"Swing door Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Double Pane,,,,,,,,,1.0
54,custom,Assembly,glazing,101936,"Swing door Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlazedDoor,Manufactured,Triple Pane,,,,,,,,,1.0
55,custom,Assembly,glazing,101937,"Kawneer 2000, pressure plate glazing or SSG system, double glazed 1 low-e ",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,GlassSkylightwithCurb,Manufactured,Double Pane,,,,,,,,,1.0
56,custom,Assembly,glazing,101938,"wood finished look vinyl, Innotech Defender 76TS triple Glazed, U=0.92W/m2K",ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,FixedWindow,Manufactured,Triple Pane,,,,,,,,,1.0
57,custom,Assembly,glazing,101939,upcharge for glazing Low-e films- within IGU,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,1.0
58,custom,Assembly,glazing,101940,upcharge for glazing Low-e films- hard coat interior pane,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,1.0
59,custom,Assembly,glazing,101941,upcharge to triple glazing from double glazing,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,1.0
60,custom,Assembly,glazing,101942,upcharge to structural design upgrades to glazing frames to suit quad glazing (15% upcharge),ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,1.0
