id,sheet,source,description,city,province_state,materialOpCost,laborOpCost,equipmentOpCost
020046,materials_opaque,placeholder,"Turnbuckle form aligner, for CIP footing forms, includes material only",,,23.142,0.0,0.0
020047,materials_opaque,placeholder,"Slab lifting inserts, single pickup, galvanized, for precast concrete, 3/4"" diameter x 5"" high, includes material only",,,7012.2,0.0,0.0
020048,materials_opaque,placeholder,"Welded wire fabric, plain, sheets, 6 x 6 - W2.9 x W2.9 (6 x 6) 42 lb./C.S.F., ASTM A185, incl labor for accessories, excl material for accessories",,,40.033,162.708,0.0
020049,materials_opaque,placeholder,"Structural concrete, ready mix, heavyweight, 3000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",,,329.866,0.0,0.0
020050,materials_opaque,placeholder,"Concrete surface treatment, curing, sprayed membrane compound",,,35.571,5.32,0.0
020051,materials_opaque,placeholder,"Concrete surface treatment, release agent, for tilt slabs, 1000 SF/gal, 5 gallon pail, includes material only",,,35.96,0.0,0.0
070052,materials_opaque,placeholder,"Angle framing, structural steel, less than 4"", field fabricated, incl cutting & welding",,,2.64,29.97,3.456
090053,materials_opaque,placeholder,"Extruded polystyrene insulation, rigid, for walls, 25 psi compressive strength, 2"" thick, R10",,,4.066,2.933,0.0
020054,materials_opaque,placeholder,"Precast wall panel, smooth, gray, uninsulated, high rise, 4' x 8' x 4"" thick, 3000 psi",,,23.976,23.542,33.844
090055,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, foil faced fiberglass, 6"" thick, R19, 23"" wide",,,5.593,0.038,0.0
021983,materials_opaque,placeholder,"C.I.P. concrete forms, wall, job built, plywood, to 8' high, 4 use, includes erecting, bracing, stripping and cleaning",,,9.886,23.299,0.0
020057,materials_opaque,placeholder,"Reinforcing steel, in place, walls, #3 to #7, A615, grade 60, incl labor for accessories, excl material for accessories",,,8483.925,1321.115,0.0
020058,materials_opaque,placeholder,"Concrete finishing, walls, includes breaking ties and patching voids",,,0.098,2.716,0.0
090059,materials_opaque,placeholder,"Steel siding, factory sandwich panel, 2"" insulation, galvanized, baked enamel exterior, 22 gauge, incl. fasteners",,,49.709,10.968,0.0
100060,materials_opaque,placeholder,"Spandrel glass, for 3/8"" thick, add",,,26.994,0.0,0.0
100061,materials_opaque,placeholder,"Spandrel glass, panels, insulated, with aluminum backed fiberglass, 2"" thick",,,4.263,25.947,0.0
090062,materials_opaque,placeholder,"Wall insulation, rigid, isocyanurate, foil faced, both sides, 4' x 8' sheet, 1/2"" thick",,,1.959,3.089,0.0
090063,materials_opaque,placeholder,"Isocyanurate insulation, rigid, for walls, 4' x 8' sheet, 1"" thick, foil faced, both sides",,,3.025,1.152,0.0
090064,materials_opaque,placeholder,"Insulation, polyurethane foam, 2#/CF density, 1"" thick, R6.5, sprayed",,,2.945,0.575,0.376
090065,materials_opaque,placeholder,"Isocyanurate insulation, rigid, for walls, 4' x 8' sheet, 1-1/2"" thick, foil faced, both sides",,,0.781,2.344,0.0
090066,materials_opaque,placeholder,"Insulation, polyurethane foam, 2#/CF density, 5"" thick, R32.5, sprayed",,,20.141,4.161,1.093
090067,materials_opaque,placeholder,"Insulation, polyurethane foam, 2#/CF density, 2"" thick, R13, sprayed",,,9.949,0.615,1.437
091963,materials_opaque,placeholder,"Isocyanurate insulation, rigid, for walls, 4' x 8' sheet, 2"" thick, foil faced, both sides",,,3.786,1.589,0.0
090069,materials_opaque,placeholder,"Wall insulation, rigid, isocyanurate, foil faced, both sides, 4' x 8' sheet, 3"" thick",,,12.055,1.82,0.0
090070,materials_opaque,placeholder,"Insulation, polyurethane foam, 2#/CF density, 3"" thick, R19.5, sprayed",,,0.931,1.059,0.484
110071,materials_opaque,placeholder,"Gypsum wallboard, fire resistant, synthetic, nailed or screwed to studs, on walls, 1/2"" thick, finish excluded",,,0.932,2.506,0.0
091964,materials_opaque,placeholder,"Wall insulation, rigid, isocyanurate, foil faced, both sides, 4' x 8' sheet, 4"" thick",,,4.15,1.835,0.0
091950,materials_opaque,placeholder,"Insulation, polyurethane foam, 2#/CF density, 4"" thick, R26, sprayed",,,9.011,2.997,0.412
090074,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, foil faced fiberglass, 3-1/2"" thick, R15, 23"" wide",,,4.711,0.723,0.0
090075,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, foil faced fiberglass, 6"" thick, R21, 23"" wide",,,4.597,0.252,0.0
090076,materials_opaque,placeholder,"Insulation, polyurethane foam, 2#/CF density, 6"" thick, R39, sprayed",,,6.652,1.903,3.008
090077,materials_opaque,placeholder,"Built-up roofing systems, asphalt flood coat with gravel/slag surfacing, asphalt base sheet, 3-plies #15 asphalt felt, mopped, excl. insulation, flashing or wood nailers",,,51.04,415.785,4.788
080078,materials_opaque,placeholder,"Underlayment, plywood, underlayment grade, 1/2"" thick, pneumatic nailed",,,7.292,2.305,0.0
090079,materials_opaque,placeholder,"Roof deck insulation, extruded polystyrene, 4"" thick, R20, 25 psi compressive strength, fastening excluded",,,11.611,1.95,0.0
080080,materials_opaque,placeholder,"Wood roof decking, western white spruce, 2"" thick",,,1.257,7.816,0.0
090081,materials_opaque,placeholder,"Roof deck insulation, fiberglass, 1-5/16"" thick, R5.26, fastening excluded",,,4.29,1.121,0.0
070082,materials_opaque,placeholder,"Metal roof decking, steel, open type B wide rib, galvanized, 50 to 500 Sq, 1-1/2"" D, 18 gauge",,,5.706,2.023,0.067
090083,materials_opaque,placeholder,"Ethylene-propylene-diene-monomer roofing, (EPDM), 0.40 psf, fully adhered with adhesive, 60 mils",,,720.765,260.21,18.856
090084,materials_opaque,placeholder,"Flat seam sheet metal roofing, zinc copper alloy, .020"" thick",,,1777.44,1116.18,0.0
090085,materials_opaque,placeholder,"Weather barriers, building paper, asphalt felt sheathing paper, #15, per square foot",,,0.187,0.342,0.0
080086,materials_opaque,placeholder,"Underlayment, plywood, underlayment grade, 3/4"" thick, pneumatic nailed",,,3.988,3.289,0.0
090087,materials_opaque,placeholder,"Asphalt shingles, premium, laminated multi-layered shingles, class A, 300-385 lb/sq",,,1889.075,86.508,0.0
090088,materials_opaque,placeholder,"Blanket insulation for floors/ceilings, fiberglass, paper or foil backing, 1 side, 9-1/2"" thick, R30, incl. spring type wire fasteners",,,2.52,3.062,0.0
090089,materials_opaque,placeholder,"Polyisocyanurate insulation, for roof decks, 1-1/2"" thick, 2#/CF density, fastening excluded",,,2.38,1.617,0.0
090090,materials_opaque,placeholder,"Blanket insulation for floors/ceilings, fiberglass, paper or foil backing, 1 side, 12"" thick, R38, incl. spring type wire fasteners",,,9.5,5.092,0.0
090091,materials_opaque,placeholder,"Polyisocyanurate insulation, for roof decks, 3/4"" thick, 2#/CF density, fastening excluded",,,0.956,1.05,0.0
090092,materials_opaque,placeholder,"Fiberglass insulation, ceilings, with open access, 16"" thick, R38, blown-in",,,4.727,3.718,0.626
090093,materials_opaque,placeholder,"Fiberglass insulation, ceilings, with open access, 20"" thick, R49, blown-in",,,2.346,5.5,0.112
090094,materials_opaque,placeholder,"Roof deck insulation, fastening alternatives, coated screws, 4""",,,0.145,0.3,0.0
020095,materials_opaque,placeholder,"C.I.P. concrete forms, elevated slab, floor, hung from steel beams, 4 use, includes shoring, erecting, bracing, stripping and cleaning",,,11.789,21.065,0.0
020096,materials_opaque,placeholder,"C.I.P. concrete forms, wall, job built, plywood, to 8' high, 1 use, includes erecting, bracing, stripping and cleaning",,,22.99,31.639,0.0
020097,materials_opaque,placeholder,"Reinforcing steel, in place, elevated slabs, #4 to #7, A615, grade 60, incl labor for accessories, excl material for accessories",,,9598.65,3824.47,0.0
090098,materials_opaque,placeholder,"Sprayed fireproofing, vermiculite cement, troweled or sprayed, 1/4"" thick",,,1.18,2.221,0.197
250099,materials_opaque,placeholder,"Insulation, rigid, roof deck, extruded polystyrene, 25 PSI compressive strength, 2"" thick, R10",,,5.949,2.055,0.0
070100,materials_opaque,placeholder,"Floor joist, galvanized CF steel, 14 ga x 10"" D, incl joists (2"" flange) & fasteners, excl band joists (track), web stiffeners, headers, beams, bridging & bracing, labor, materials only",,,41.031,0.0,0.0
080101,materials_opaque,placeholder,"Subfloors, plywood, CDX, 3/4"" thick, pneumatic nailed",,,2.114,1.344,0.0
090102,materials_opaque,placeholder,"Steel siding, beveled, vinyl coated, 10"" wide",,,2.201,1.273,0.0
080103,materials_opaque,placeholder,"Wood framing, joists, 2"" x 10""",,,10006.8,923.355,0.0
020104,materials_opaque,placeholder,"Expansion joint, premolded, bituminous fiber, 1/2"" x 6""",,,2.86,3.691,0.0
020105,materials_opaque,placeholder,"Welded wire fabric, plain, sheets, 6 x 6 - W2.1 x W2.1 (8 x 8) 30 lb./C.S.F., ASTM A185, incl labor for accessories, excl material for accessories",,,112.26,53.878,0.0
020106,materials_opaque,placeholder,"Structural concrete, ready mix, heavyweight, 3500 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",,,588.294,0.0,0.0
020107,materials_opaque,placeholder,"Structural concrete, placing, slab on grade, direct chute, over 6"" thick, includes leveling (strike off) & consolidation, excludes material",,,0.0,75.408,0.365
020108,materials_opaque,placeholder,"Concrete finishing, specified Random Access Floors ACI Classes 1, 2, 3 & 4, for Composite Overall Floor Flatness & Levelness to FF35/FL25, bull float, machine float & steel trowel (walk-behind), excl placing, striking off & consolidating",,,0.0,3.292,0.046
090109,materials_opaque,placeholder,"Vapor retarders, building paper, polyethylene vapor barrier, standard, 6 mil (.006"" thick), 9' x 400' roll",,,104.433,57.319,0.0
200110,materials_opaque,placeholder,"Fine grading, finish grading, small area, to be paved with grader",,,0.0,1.418,0.938
200111,materials_opaque,placeholder,"Fill, gravel fill, compacted, under floor slabs, 4"" deep",,,0.063,1.349,0.027
090112,materials_opaque,placeholder,"Roof deck insulation, extruded polystyrene, 3"" thick, R15, 40 psi compressive strength, fastening excluded",,,14.262,0.569,0.0
020113,materials_opaque,placeholder,"Concrete finishing, fresh concrete flatwork, floors, basic finishing for unspecified flatwork, bull float, manual float & broom finish, incl edging and joints, excl placing, striking off & consolidating",,,0.0,0.158,0.0
060114,materials_opaque,placeholder,"Washing brick, smooth brick, acid wash",,,0.256,3.318,0.0
020115,materials_opaque,placeholder,"Structural concrete, placing, slab on grade, direct chute, up to 6"" thick, includes leveling (strike off) & consolidation, excludes material",,,0.0,94.274,0.201
080116,materials_opaque,placeholder,"Wood framing, partitions, standard & better lumber, 2"" x 6"" studs, 16"" OC, 10' high, includes single bottom plate and double top plate, excludes waste",,,10.327,19.861,0.0
090117,materials_opaque,placeholder,"Sheet metal flashing, aluminum, flexible, mill finish, .019"" thick, including up to 4 bends",,,34.207,1.34,0.0
090118,materials_opaque,placeholder,"Pre-formed joint seals, backer rod, polyethylene, 1/4"" dia",,,418.233,481.689,0.0
090119,materials_opaque,placeholder,"Joint sealants, caulking and sealants, butyl based, bulk, 1/4"" x 1/2""",,,1.84,1.367,0.0
020120,materials_opaque,placeholder,"Structural concrete, placing, walls, pumped, 8"" thick, includes leveling (strike off) & consolidation, excludes material",,,0.0,177.139,51.94
020121,materials_opaque,placeholder,"Structural concrete, placing, elevated slab, pumped, 6"" to 10"" thick, includes leveling (strike off) & consolidation, excludes material",,,0.0,78.0,23.561
070122,materials_opaque,placeholder,"Floor joist, galvanized CF steel, 14 ga x 10"" D, incl fastening to band joists, beams & headers, excl materials, labor only",,,0.0,89.735,0.0
100123,materials_opaque,placeholder,"Doors, hollow metal, commercial, steel, flush, full panel, hollow core, 1-3/8"" thick, 20 ga., 3'-0"" x 7'-0""",,,880.56,157.048,0.0
100124,materials_opaque,placeholder,"Doors, aluminum, commercial entrance, flush panel doors, pair of, 2'-6"" x 7'-0"", incl. hinges, push/pull, deadlock, cylinder, threshold, excl. glazing",,,5026.175,1360.38,0.0
100125,materials_opaque,placeholder,"Fiberglass, exterior, prehung door, 1-3/4"", 3'-0"" x 7'-0""",,,741.0,100.852,0.0
100126,materials_opaque,placeholder,"Doors, rolling service, steel, manual, 20 gauge, 10' x 10' high, incl. hardware",,,4558.5,680.24,0.0
090127,materials_opaque,placeholder,"Extruded polystyrene insulation, rigid, for walls, 25 psi compressive strength, 1"" thick, R5",,,2.123,0.479,0.0
090128,materials_opaque,placeholder,"Polyisocyanurate insulation, for roof decks, 2"" thick, 2#/CF density, fastening excluded",,,3.896,1.642,0.0
090129,materials_opaque,placeholder,"Roof deck insulation, fiberglass, 15/16"" thick, R3.70, fastening excluded",,,2.008,0.264,0.0
020130,materials_opaque,placeholder,"Concrete sawing, concrete walls, plain, per inch of depth, hydraulic saw",,,0.123,14.825,4.526
070131,materials_opaque,placeholder,"Partition, galvanized LB studs, 16 ga x 6"" W studs 16"" OC x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",,,143.297,60.342,0.0
080132,materials_opaque,placeholder,"Insulating sheathing, expanded polystyrene, 3/4"" thick R2.89, 1#/CF density, fastening excluded",,,0.147,2.821,0.0
090133,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, kraft faced fiberglass, 3-1/2"" thick, R11, 23"" wide",,,0.733,1.131,0.0
090134,materials_opaque,placeholder,"Blanket insulation, for walls or ceilings, kraft faced fiberglass, 3-1/2"" thick, R13, 23"" wide",,,4.854,0.634,0.0
091947,materials_opaque,custom,"Blanket Inuslation for floors/ceilings, fibreglass, unfaced, 12"" thick, including spring type wire with fasteners",VANCOUVER,BRITISH COLUMBIA,5.244,2.216,0.0
091948,materials_opaque,custom,"Blanket Inuslation for floors/ceilings, fibreglass, unfaced, 1 side, 3.5"" thick, including spring type wire with fasteners",VANCOUVER,BRITISH COLUMBIA,2.041,3.828,0.0
091949,materials_opaque,custom,"roof deck extruded polystyrene, 3"" (R15), 25 PSI modifed to 2x4"" sheets ",VANCOUVER,BRITISH COLUMBIA,7.814,0.44,0.0
091951,materials_opaque,custom,"Mineral wool board, rigid, 1"" thick",VANCOUVER,BRITISH COLUMBIA,1.038,2.585,0.0
091952,materials_opaque,custom,"Mineral wool board, rigid, 2"" thick",VANCOUVER,BRITISH COLUMBIA,0.544,2.172,0.0
091953,materials_opaque,custom,"Mineral wool board, rigid, 4"" thick",VANCOUVER,BRITISH COLUMBIA,4.207,3.111,0.0
091954,materials_opaque,custom,"Mineral wool board, rigid, 6"" thick",VANCOUVER,BRITISH COLUMBIA,7.394,0.717,0.0
091955,materials_opaque,custom,"Mineral wool board, rigid, 8"" thick",VANCOUVER,BRITISH COLUMBIA,8.813,1.43,0.0
021956,materials_opaque,custom,"Precast wall panel, 8x16, 4"" thick, uninsulated",VANCOUVER,BRITISH COLUMBIA,33.328,16.743,3.741
021957,materials_opaque,custom,"Precast wall panel, add for 2"" polystyrene",VANCOUVER,BRITISH COLUMBIA,0.194,0.0,0.0
091958,materials_opaque,custom,"Mineral wool batt, 4"" thick, R20",VANCOUVER,BRITISH COLUMBIA,5.428,1.677,0.0
021959,materials_opaque,custom,"Precast wall panel, add for 3"" polystyrene",VANCOUVER,BRITISH COLUMBIA,3.511,0.0,0.0
021960,materials_opaque,custom,"Precast wall panel, add for 4"" polystyrene",VANCOUVER,BRITISH COLUMBIA,3.861,0.0,0.0
081961,materials_opaque,custom,"exterior gypsum sheahting, 1/2"" thick, weatherproof, glass mat facer",VANCOUVER,BRITISH COLUMBIA,1.355,2.682,0.0
091962,materials_opaque,custom,"self-adhered SBS Air/vapour/moisture barrier, 36"" wide with adhesive",VANCOUVER,BRITISH COLUMBIA,1.116,1.334,0.0
071965,materials_opaque,custom,"galv. 2.5"" SS, LB Metal stud framing, stud wall top & bottom, no openings, 2x2.5"", 8 ft at 16"" o/c",VANCOUVER,BRITISH COLUMBIA,16.423,20.838,0.0
071966,materials_opaque,custom,"Flynn speedwall system- 6"" Quadcore",VANCOUVER,BRITISH COLUMBIA,491.208,0.0,0.0
071967,materials_opaque,custom,"Flynn speedwall system- 6"" Quadcore + batt",VANCOUVER,BRITISH COLUMBIA,65.743,0.0,0.0
061968,materials_opaque,custom,"4"" brick veneer w/ galvanized brick ties, galv. Steel shelf angles, lintels. ",VANCOUVER,BRITISH COLUMBIA,34.534,0.0,0.0
061969,materials_opaque,custom,"4"" brick veneer w/ stainless steel brick ties, galv. Steel shelf angles, lintels. ",VANCOUVER,BRITISH COLUMBIA,135.331,0.0,0.0
071970,materials_opaque,custom,"metal panels, mid-range, standard colour, excludes perimeter/transition sealants.",VANCOUVER,BRITISH COLUMBIA,26.981,0.0,0.0
091971,materials_opaque,custom,"Ejot Thermal Clips- 2.5"" per piece",VANCOUVER,BRITISH COLUMBIA,3.294,11.193,0.0
